url,status,found_via,note
https://dynamocks.us/products/cotton-crew-length-socks-solid-peach-unique-color-premium-cotton-socks-for-men-women,429,linked from https://www.dynamocks.us/collections/solid-colors-socks,"in local mirror as live — Shopify may just be slow, worth a manual re-check"
https://dynamocks.us/products/cotton-crew-socks-beam-crew-length-socks,429,linked from https://www.dynamocks.us/collections/geometric-collection,"in local mirror as live — Shopify may just be slow, worth a manual re-check"
https://dynamocks.us/products/cotton-crew-socks-bold-stripes-1-0-crew-length-socks,429,linked from https://www.dynamocks.us/collections/best-sellers,"in local mirror as live — Shopify may just be slow, worth a manual re-check"
https://dynamocks.us/products/cotton-crew-socks-bubbles-crew-length-socks,429,linked from https://www.dynamocks.us/collections/crew-pack-of-1,"in local mirror as live — Shopify may just be slow, worth a manual re-check"
https://dynamocks.us/products/cotton-crew-socks-burst-crew-length-socks,429,linked from https://www.dynamocks.us/collections/cotton-crew-socks,"in local mirror as live — Shopify may just be slow, worth a manual re-check"
https://dynamocks.us/products/cotton-crew-socks-chillies-crew-length-socks,429,linked from https://www.dynamocks.us/collections/fun-socks,"in local mirror as live — Shopify may just be slow, worth a manual re-check"
https://dynamocks.us/products/cotton-crew-socks-combo-plus-plush-classic,429,linked from https://www.dynamocks.us/collections/crew-combos,"in local mirror as live — Shopify may just be slow, worth a manual re-check"
https://dynamocks.us/products/cotton-crew-socks-confetti-crew-length-socks,429,linked from https://www.dynamocks.us/collections/cotton-crew-socks,"in local mirror as live — Shopify may just be slow, worth a manual re-check"
https://dynamocks.us/products/cotton-crew-socks-dandy-aqua-d-neon-green-d-maroon-fizzy-maroon-f-yellow-f-aqua,429,linked from https://www.dynamocks.us/collections/crew-combos,"in local mirror as live — Shopify may just be slow, worth a manual re-check"
https://dynamocks.us/products/cotton-crew-socks-dandy-neon-green-crew-length-socks,429,linked from https://www.dynamocks.us/collections/geometric-collection,"in local mirror as live — Shopify may just be slow, worth a manual re-check"
https://dynamocks.us/products/cotton-crew-socks-fizzy-maroon-crew-length-socks,429,linked from https://www.dynamocks.us/collections/polka-dot-parade,"in local mirror as live — Shopify may just be slow, worth a manual re-check"
https://dynamocks.us/products/cotton-crew-socks-grill-crew-length-socks,429,linked from https://www.dynamocks.us/collections/artistic-cotton-socks,"in local mirror as live — Shopify may just be slow, worth a manual re-check"
https://dynamocks.us/products/cotton-crew-socks-illusion-crew-length-socks,429,linked from https://www.dynamocks.us/collections/best-sellers,"in local mirror as live — Shopify may just be slow, worth a manual re-check"
https://dynamocks.us/products/cotton-crew-socks-neon-crew-length-socks,429,linked from https://www.dynamocks.us/collections/cotton-crew-socks,"in local mirror as live — Shopify may just be slow, worth a manual re-check"
https://dynamocks.us/products/cotton-crew-socks-pizzazz-cube-prism-sprinkles,429,linked from https://www.dynamocks.us/collections/crew-combos,"in local mirror as live — Shopify may just be slow, worth a manual re-check"
https://dynamocks.us/products/cotton-crew-socks-prim-crew-length-socks,429,linked from https://www.dynamocks.us/collections/artistic-cotton-socks,"in local mirror as live — Shopify may just be slow, worth a manual re-check"
https://dynamocks.us/products/cotton-crew-socks-retro-crew-length-socks,429,linked from https://www.dynamocks.us/collections/artistic-cotton-socks,"in local mirror as live — Shopify may just be slow, worth a manual re-check"
https://dynamocks.us/products/cotton-crew-socks-solid-green-crew-length-socks,429,linked from https://www.dynamocks.us/collections/solid-colors-socks,"in local mirror as live — Shopify may just be slow, worth a manual re-check"
https://dynamocks.us/products/cotton-crew-socks-solid-olive-crew-length-socks-copy,429,linked from https://www.dynamocks.us/collections/solid-colors-socks,"in local mirror as live — Shopify may just be slow, worth a manual re-check"
https://dynamocks.us/products/cotton-crew-socks-solid-turquoise-crew-length-socks,429,linked from https://www.dynamocks.us/collections/solid-colors-socks,"in local mirror as live — Shopify may just be slow, worth a manual re-check"
https://dynamocks.us/products/cotton-crew-socks-stripes-12-0-crew-length-socks,429,linked from https://www.dynamocks.us/collections/savvy-stripes-cotton-socks,"in local mirror as live — Shopify may just be slow, worth a manual re-check"
https://dynamocks.us/products/cotton-crew-socks-stripes-16-0-crew-length-socks,429,linked from https://www.dynamocks.us/collections/savvy-stripes-cotton-socks,"in local mirror as live — Shopify may just be slow, worth a manual re-check"
https://dynamocks.us/products/cotton-crew-socks-sunshine-crew-length-socks,429,linked from https://www.dynamocks.us/collections/crew-pack-of-1,"in local mirror as live — Shopify may just be slow, worth a manual re-check"
https://dynamocks.us/products/cotton-crew-socks-trios-crew-length-socks,429,linked from https://www.dynamocks.us/collections/black-white-bliss,"in local mirror as live — Shopify may just be slow, worth a manual re-check"
https://dynamocks.us/products/cotton-socks-vibrant-combo,429,linked from https://www.dynamocks.us/collections/all-products,"in local mirror as live — Shopify may just be slow, worth a manual re-check"
https://dynamocks.us/products/dandy-black-white-crew-length-socks-cotton-crew-socks,429,linked from https://www.dynamocks.us/collections/black-white-bliss,"in local mirror as live — Shopify may just be slow, worth a manual re-check"
https://dynamocks.us/products/dynamocks-artistic-graphic-quarter-socks-us-size-6-10-copy,429,linked from https://www.dynamocks.us/collections/artistic-printed-socks,"in local mirror as live — Shopify may just be slow, worth a manual re-check"
https://dynamocks.us/products/dynamocks-premium-crew-socks-pack-of-6,429,linked from https://www.dynamocks.us/collections/crew-combos,"in local mirror as live — Shopify may just be slow, worth a manual re-check"
https://dynamocks.us/products/exotica-dynamocks-artistic-graphic-quarter-length-socks-us-size-6-10,429,linked from https://www.dynamocks.us/collections/artistic-printed-socks,"in local mirror as live — Shopify may just be slow, worth a manual re-check"
https://dynamocks.us/products/fizzy-orange-crew-length-socks-cotton-crew-socks,429,linked from https://www.dynamocks.us/collections/artistic-cotton-socks,"in local mirror as live — Shopify may just be slow, worth a manual re-check"
